region,population,density
Алтайский край,2317153,13.79
Амурская область,790044,2.18
Архангельская область,1136535,1.93
Астраханская область,1005782,20.52
Белгородская область,1549151,57.09
Брянская область,1192491,34.21
Владимирская область,1358416,46.71
Волгоградская область,2491036,22.07
Вологодская область,1160445,8.02
Воронежская область,2324205,44.51
Еврейская АО,158305,4.36
Забайкальский край,1059700,2.45
Ивановская область,997135,46.51
Иркутская область,2391193,3.09
Кабардино-Балкарская Республика,868350,69.64
Калининградская область,1012512,66.94
Калужская область,1002575,33.67
Камчатский край,313016,0.67
Карачаево-Черкесская Республика,465528,32.61
Кемеровская область,2657854,27.77
Кировская область,1262402,10.49
Костромская область,633385,10.52
Краснодарский край,5675462,75.19
Красноярский край,2866255,1.21
Курганская область,827166,11.57
Курская область,1104008,36.8
Ленинградская область,1875872,22.36
Липецкая область,1139371,47.38
Магаданская область,140149,0.3
Москва,12678079,4950.43
Московская область,7690863,173.5
Мурманская область,741404,5.12
Ненецкий автономный округ,44111,0.25
Нижегородская область,3202946,41.8
Новгородская область,596508,10.94
Новосибирская область,2798170,15.74
Омская область,1926665,13.65
Оренбургская область,1956835,15.82
Орловская область,733498,29.75
Пензенская область,1305563,30.12
Пермский край,2599260,16.22
Приморский край,1895868,11.51
Псковская область,626115,11.3
Республика Адыгея,463088,59.43
Республика Башкортостан,4038151,28.25
Республика Бурятия,985937,2.81
Республика Дагестан,3110858,61.88
Республика Ингушетия,507061,162.36
Республика Калмыкия,271135,3.63
Республика Карелия,614064,3.4
Республика Коми,820473,1.97
Республика Крым,1912622,73.33
Республика Марий Эл,679417,29.07
Республика Мордовия,790197,30.24
Республика Саха (Якутия),971996,0.32
Республика Северная Осетия,696837,87.25
Республика Татарстан,3902642,57.52
Республика Тыва,327383,1.94
Республика Хакасия,534262,8.68
Ростовская область,4197821,41.58
Рязанская область,1108847,28
Самарская область,3179532,59.36
Санкт-Петербург,5398064,3847.52
Саратовская область,2421895,23.92
Сахалинская область,488257,5.61
Свердловская область,4310681,22.18
Севастополь,449138,519.84
Смоленская область,934889,18.78
Ставропольский край,2803573,42.38
Тамбовская область,1006748,29.21
Тверская область,1260379,14.97
Томская область,1079271,3.43
Тульская область,1466127,57.09
Тюменская область,3756536,2.57
Удмуртская Республика,1500955,35.69
Ульяновская область,1229824,33.08
Хабаровский край,1315643,1.67
Ханты-Мансийский АО,1674676,3.13
Челябинская область,3466369,39.15
Чеченская Республика,1478726,91.48
Чувашская Республика,1217818,66.39
Чукотский АО,50288,0.07
Ямало-Ненецкий АО,544444,0.71
Ярославская область,1253389,34.65
г. Севастополь,449138,519.84